Nota_debito,Cliente,Prob_Mora,Zona_Riesgo
2913061,22502915,0.2707,BAJO
2913062,22502915,0.2707,BAJO
2913020,2248977,0.3052,MEDIO
2913952,2200192,0.9462,ALTO
2913953,2200192,0.9462,ALTO
2913954,2200192,0.9462,ALTO
2913955,2200192,0.9462,ALTO
2913956,2200192,0.9462,ALTO
2913957,2200192,0.9462,ALTO
2913958,2200192,0.9462,ALTO
2913959,2200192,0.9462,ALTO
2913960,2200192,0.9462,ALTO
2914012,2200192,0.941,ALTO
2914013,2200192,0.941,ALTO
2914014,2200192,0.941,ALTO
2914015,2200192,0.941,ALTO
2914016,2200192,0.941,ALTO
2914017,2200192,0.941,ALTO
2914018,2200192,0.941,ALTO
2914019,2200192,0.941,ALTO
2914020,2200192,0.941,ALTO
2918064,2201835,0.8628,ALTO
2918065,2201835,0.8628,ALTO
2918066,2201835,0.8628,ALTO
2918068,2201835,0.8628,ALTO
2918069,2201835,0.8628,ALTO
2918070,2201835,0.8628,ALTO
2918071,2201835,0.8628,ALTO
2918072,2201835,0.8628,ALTO
2918073,2201835,0.8628,ALTO
2914504,2186482,0.8975,ALTO
2914505,2186482,0.8975,ALTO
2914506,2186482,0.8975,ALTO
2914507,2186482,0.8975,ALTO
2914508,2186482,0.8975,ALTO
2914509,2186482,0.8975,ALTO
2914510,2186482,0.8975,ALTO
2914511,2186482,0.8975,ALTO
2914512,2186482,0.8975,ALTO
2914536,2186482,0.8781,ALTO
2914537,2186482,0.8781,ALTO
2914538,2186482,0.8781,ALTO
2914539,2186482,0.8781,ALTO
2914540,2186482,0.8781,ALTO
2914541,2186482,0.8781,ALTO
2914542,2186482,0.8781,ALTO
2914543,2186482,0.8781,ALTO
2914544,2186482,0.8781,ALTO
2913759,2195983,0.183,BAJO
2913760,2195983,0.183,BAJO
2913723,2240562,0.391,MEDIO
2914272,2200790,0.4336,MEDIO
2914273,2200790,0.4336,MEDIO
2914274,2200790,0.4336,MEDIO
2914275,2200790,0.4336,MEDIO
2914276,2200790,0.4336,MEDIO
2914277,2200790,0.4336,MEDIO
2914320,2190873,0.4313,MEDIO
2914321,2190873,0.4313,MEDIO
2914322,2190873,0.4313,MEDIO
2914323,2190873,0.4313,MEDIO
2914994,22502897,0.3302,MEDIO
2914995,22502897,0.3302,MEDIO
2914996,22502897,0.3302,MEDIO
2914997,22502897,0.3302,MEDIO
